Date,Year,Month,MonthNumber,Quarter,MonthYear,MonthYearSort
1-Jan-11,2011,January,1,Q1,Jan-11,201101
2-Jan-11,2011,January,1,Q1,Jan-11,201101
3-Jan-11,2011,January,1,Q1,Jan-11,201101
4-Jan-11,2011,January,1,Q1,Jan-11,201101
5-Jan-11,2011,January,1,Q1,Jan-11,201101
6-Jan-11,2011,January,1,Q1,Jan-11,201101
7-Jan-11,2011,January,1,Q1,Jan-11,201101
8-Jan-11,2011,January,1,Q1,Jan-11,201101
9-Jan-11,2011,January,1,Q1,Jan-11,201101
10-Jan-11,2011,January,1,Q1,Jan-11,201101
11-Jan-11,2011,January,1,Q1,Jan-11,201101
12-Jan-11,2011,January,1,Q1,Jan-11,201101
13-Jan-11,2011,January,1,Q1,Jan-11,201101
14-Jan-11,2011,January,1,Q1,Jan-11,201101
15-Jan-11,2011,January,1,Q1,Jan-11,201101
16-Jan-11,2011,January,1,Q1,Jan-11,201101
17-Jan-11,2011,January,1,Q1,Jan-11,201101
18-Jan-11,2011,January,1,Q1,Jan-11,201101
19-Jan-11,2011,January,1,Q1,Jan-11,201101
20-Jan-11,2011,January,1,Q1,Jan-11,201101
21-Jan-11,2011,January,1,Q1,Jan-11,201101
22-Jan-11,2011,January,1,Q1,Jan-11,201101
23-Jan-11,2011,January,1,Q1,Jan-11,201101
24-Jan-11,2011,January,1,Q1,Jan-11,201101
25-Jan-11,2011,January,1,Q1,Jan-11,201101
26-Jan-11,2011,January,1,Q1,Jan-11,201101
27-Jan-11,2011,January,1,Q1,Jan-11,201101
28-Jan-11,2011,January,1,Q1,Jan-11,201101
29-Jan-11,2011,January,1,Q1,Jan-11,201101
30-Jan-11,2011,January,1,Q1,Jan-11,201101
31-Jan-11,2011,January,1,Q1,Jan-11,201101
1-Feb-11,2011,February,2,Q1,Feb-11,201102
2-Feb-11,2011,February,2,Q1,Feb-11,201102
3-Feb-11,2011,February,2,Q1,Feb-11,201102
4-Feb-11,2011,February,2,Q1,Feb-11,201102
5-Feb-11,2011,February,2,Q1,Feb-11,201102
6-Feb-11,2011,February,2,Q1,Feb-11,201102
7-Feb-11,2011,February,2,Q1,Feb-11,201102
8-Feb-11,2011,February,2,Q1,Feb-11,201102
9-Feb-11,2011,February,2,Q1,Feb-11,201102
10-Feb-11,2011,February,2,Q1,Feb-11,201102
11-Feb-11,2011,February,2,Q1,Feb-11,201102
12-Feb-11,2011,February,2,Q1,Feb-11,201102
13-Feb-11,2011,February,2,Q1,Feb-11,201102
14-Feb-11,2011,February,2,Q1,Feb-11,201102
15-Feb-11,2011,February,2,Q1,Feb-11,201102
16-Feb-11,2011,February,2,Q1,Feb-11,201102
17-Feb-11,2011,February,2,Q1,Feb-11,201102
18-Feb-11,2011,February,2,Q1,Feb-11,201102
19-Feb-11,2011,February,2,Q1,Feb-11,201102
20-Feb-11,2011,February,2,Q1,Feb-11,201102
21-Feb-11,2011,February,2,Q1,Feb-11,201102
22-Feb-11,2011,February,2,Q1,Feb-11,201102
23-Feb-11,2011,February,2,Q1,Feb-11,201102
24-Feb-11,2011,February,2,Q1,Feb-11,201102
25-Feb-11,2011,February,2,Q1,Feb-11,201102
26-Feb-11,2011,February,2,Q1,Feb-11,201102
27-Feb-11,2011,February,2,Q1,Feb-11,201102
28-Feb-11,2011,February,2,Q1,Feb-11,201102
1-Mar-11,2011,March,3,Q1,Mar-11,201103
2-Mar-11,2011,March,3,Q1,Mar-11,201103
3-Mar-11,2011,March,3,Q1,Mar-11,201103
4-Mar-11,2011,March,3,Q1,Mar-11,201103
5-Mar-11,2011,March,3,Q1,Mar-11,201103
6-Mar-11,2011,March,3,Q1,Mar-11,201103
7-Mar-11,2011,March,3,Q1,Mar-11,201103
8-Mar-11,2011,March,3,Q1,Mar-11,201103
9-Mar-11,2011,March,3,Q1,Mar-11,201103
10-Mar-11,2011,March,3,Q1,Mar-11,201103
11-Mar-11,2011,March,3,Q1,Mar-11,201103
12-Mar-11,2011,March,3,Q1,Mar-11,201103
13-Mar-11,2011,March,3,Q1,Mar-11,201103
14-Mar-11,2011,March,3,Q1,Mar-11,201103
15-Mar-11,2011,March,3,Q1,Mar-11,201103
16-Mar-11,2011,March,3,Q1,Mar-11,201103
17-Mar-11,2011,March,3,Q1,Mar-11,201103
18-Mar-11,2011,March,3,Q1,Mar-11,201103
19-Mar-11,2011,March,3,Q1,Mar-11,201103
20-Mar-11,2011,March,3,Q1,Mar-11,201103
21-Mar-11,2011,March,3,Q1,Mar-11,201103
22-Mar-11,2011,March,3,Q1,Mar-11,201103
23-Mar-11,2011,March,3,Q1,Mar-11,201103
24-Mar-11,2011,March,3,Q1,Mar-11,201103
25-Mar-11,2011,March,3,Q1,Mar-11,201103
26-Mar-11,2011,March,3,Q1,Mar-11,201103
27-Mar-11,2011,March,3,Q1,Mar-11,201103
28-Mar-11,2011,March,3,Q1,Mar-11,201103
29-Mar-11,2011,March,3,Q1,Mar-11,201103
30-Mar-11,2011,March,3,Q1,Mar-11,201103
31-Mar-11,2011,March,3,Q1,Mar-11,201103
1-Apr-11,2011,April,4,Q2,Apr-11,201104
2-Apr-11,2011,April,4,Q2,Apr-11,201104
3-Apr-11,2011,April,4,Q2,Apr-11,201104
4-Apr-11,2011,April,4,Q2,Apr-11,201104
5-Apr-11,2011,April,4,Q2,Apr-11,201104
6-Apr-11,2011,April,4,Q2,Apr-11,201104
7-Apr-11,2011,April,4,Q2,Apr-11,201104
8-Apr-11,2011,April,4,Q2,Apr-11,201104
9-Apr-11,2011,April,4,Q2,Apr-11,201104
10-Apr-11,2011,April,4,Q2,Apr-11,201104
11-Apr-11,2011,April,4,Q2,Apr-11,201104
12-Apr-11,2011,April,4,Q2,Apr-11,201104
13-Apr-11,2011,April,4,Q2,Apr-11,201104
14-Apr-11,2011,April,4,Q2,Apr-11,201104
15-Apr-11,2011,April,4,Q2,Apr-11,201104
16-Apr-11,2011,April,4,Q2,Apr-11,201104
17-Apr-11,2011,April,4,Q2,Apr-11,201104
18-Apr-11,2011,April,4,Q2,Apr-11,201104
19-Apr-11,2011,April,4,Q2,Apr-11,201104
20-Apr-11,2011,April,4,Q2,Apr-11,201104
21-Apr-11,2011,April,4,Q2,Apr-11,201104
22-Apr-11,2011,April,4,Q2,Apr-11,201104
23-Apr-11,2011,April,4,Q2,Apr-11,201104
24-Apr-11,2011,April,4,Q2,Apr-11,201104
25-Apr-11,2011,April,4,Q2,Apr-11,201104
26-Apr-11,2011,April,4,Q2,Apr-11,201104
27-Apr-11,2011,April,4,Q2,Apr-11,201104
28-Apr-11,2011,April,4,Q2,Apr-11,201104
29-Apr-11,2011,April,4,Q2,Apr-11,201104
30-Apr-11,2011,April,4,Q2,Apr-11,201104
1-May-11,2011,May,5,Q2,May-11,201105
2-May-11,2011,May,5,Q2,May-11,201105
3-May-11,2011,May,5,Q2,May-11,201105
4-May-11,2011,May,5,Q2,May-11,201105
5-May-11,2011,May,5,Q2,May-11,201105
6-May-11,2011,May,5,Q2,May-11,201105
7-May-11,2011,May,5,Q2,May-11,201105
8-May-11,2011,May,5,Q2,May-11,201105
9-May-11,2011,May,5,Q2,May-11,201105
10-May-11,2011,May,5,Q2,May-11,201105
11-May-11,2011,May,5,Q2,May-11,201105
12-May-11,2011,May,5,Q2,May-11,201105
13-May-11,2011,May,5,Q2,May-11,201105
14-May-11,2011,May,5,Q2,May-11,201105
15-May-11,2011,May,5,Q2,May-11,201105
16-May-11,2011,May,5,Q2,May-11,201105
17-May-11,2011,May,5,Q2,May-11,201105
18-May-11,2011,May,5,Q2,May-11,201105
19-May-11,2011,May,5,Q2,May-11,201105
20-May-11,2011,May,5,Q2,May-11,201105
21-May-11,2011,May,5,Q2,May-11,201105
22-May-11,2011,May,5,Q2,May-11,201105
23-May-11,2011,May,5,Q2,May-11,201105
24-May-11,2011,May,5,Q2,May-11,201105
25-May-11,2011,May,5,Q2,May-11,201105
26-May-11,2011,May,5,Q2,May-11,201105
27-May-11,2011,May,5,Q2,May-11,201105
28-May-11,2011,May,5,Q2,May-11,201105
29-May-11,2011,May,5,Q2,May-11,201105
30-May-11,2011,May,5,Q2,May-11,201105
31-May-11,2011,May,5,Q2,May-11,201105
1-Jun-11,2011,June,6,Q2,Jun-11,201106
2-Jun-11,2011,June,6,Q2,Jun-11,201106
3-Jun-11,2011,June,6,Q2,Jun-11,201106
4-Jun-11,2011,June,6,Q2,Jun-11,201106
5-Jun-11,2011,June,6,Q2,Jun-11,201106
6-Jun-11,2011,June,6,Q2,Jun-11,201106
7-Jun-11,2011,June,6,Q2,Jun-11,201106
8-Jun-11,2011,June,6,Q2,Jun-11,201106
9-Jun-11,2011,June,6,Q2,Jun-11,201106
10-Jun-11,2011,June,6,Q2,Jun-11,201106
11-Jun-11,2011,June,6,Q2,Jun-11,201106
12-Jun-11,2011,June,6,Q2,Jun-11,201106
13-Jun-11,2011,June,6,Q2,Jun-11,201106
